,Protein_ID,Pfam_Families
1098,O08808,PF06346
1099,Q01698,PF00009
1100,Q9NZK5,PF00962
1101,Q13188,PF11629
1102,P29973,PF16526
1103,P16671,PF01130
1104,P0A017,PF00186
1105,Q5H1U9,PF01053
1106,P0A1P6,PF00120
1107,Q6FCQ7,PF13549
1108,E0SJQ4,PF02931
1109,P23385,PF00003
1110,A0A1L8F5J9,PF01094
1111,D9IEF7,PF00959
1112,Q9UBG0,PF24562
1113,A5KE01,PF00962
1114,P05162,PF00337
1115,Q8KKW2,PF01382
1116,P52332,PF18379
1117,Q5XXP3,PF01589
1118,P11597,PF01273
1119,O75762,PF00023
1120,P0A6E6,PF00401
1121,P03367,PF00540
1122,P16234,PF07679
1123,A0A287B8J2,PF01302
1124,A0A0E3GLN3,PF08246
1125,Q13740,PF08205
1126,P56524,PF12203
1127,Q4Q5S8,PF01233
1128,P13053,PF00104
1129,P03960,PF00122
1130,Q82L26,PF22704
1131,Q5RT80,PF00267
1132,D9N170,PF00186
1133,Q89YR8,PF02518
1134,P9WPA5,PF01467
1135,O00170,PF23322
1136,A0A6L8P2U9,PF00571
1137,P04117,PF00061
1138,Q97W59,PF01873
1139,Q9ZTA9,PF00139
1140,A0A0A7HR51,PF00509
1141,B5XGR7,PF00214
1142,P02730,PF07565
1143,D0PY27,PF00998
1144,E7CWP5,PF00516
1145,P12969,PF00214
1146,P01258,PF00214
1147,P70673,PF01007
1148,O60895,PF04901
1149,O60894,PF04901
1150,A0A1L8ENT6,PF09302
1151,P39040,PF07992
1152,P08669,PF00798
1153,P33897,PF06472
1154,P00748,PF00008
1155,G4Z2L3,PF01644
1156,A0A0C6DRW4,PF08028
1157,P0A988,PF00712
1158,P00431,PF00141
1159,Q6P988,PF03283
1160,P48515,PF22042
1161,P22887,PF00334
1162,P46922,PF04069
1163,P35754,PF00462
1164,F6UME2,PF05612
1165,O95633,PF09289
1166,A0A0C7CQY7,PF07715
1167,H6QM93,PF00509
1168,P45452,PF00045
1169,P31645,PF03491
1170,Q16740,PF00574
1171,A0A0H3HP34,PF13561
1172,O82777,PF17766
1173,P83791,PF00033
1174,Q9UBF8,PF00454
1175,B8R1T8,PF00548
1176,Q9I2S7,PF01276
1177,F1MRE5,PF00887
1178,P20906,PF02775
1179,Q15645,PF00004
1180,P28327,PF00069
1181,Q9UIF8,PF00439
1182,O75351,PF00004
1183,P09215,PF00130
1184,P01888,PF07654
1185,A0QYE8,PF00571
1186,O74718,PF22594
1187,P06737,PF00343
1188,P25321,PF00069
1189,G3HK48,PF02827
1190,C7REB0,PF00155
1191,Q6IMW5,PF14651
1192,Q8I719,PF00027
1193,P00829,PF00006
1194,P08011,PF01124
1195,Q9KAX3,PF01554
1196,P01556,PF01376
1197,Q8GXJ4,PF01094
1198,P00514,PF00027
1199,P05556,PF07974
1200,A2RM80,PF01055
1201,Q8N608,PF00930
1202,Q9GZU1,PF21381
1203,Q9VUL1,PF06418
1204,A0A858LG55,PF07654
1205,Q8G4Q1,PF09261
1206,Q88678,PF01589
1207,P29475,PF00667
1208,Q6FC66,PF00005
1209,P20813,PF00067
1210,P54645,PF16579
1211,Q2FXC2,PF00089
1212,Q9UBX1,PF08246
1213,C5MV42,PF00509
1214,Q5SHR6,PF01000
1215,P42212,PF01353
1216,A1ILL9,PF00064
1217,Q8RUT8,PF01036
1218,Q96R05,PF00061
1219,Q9IGQ6,PF00064
1220,P12931,PF07714
1221,P41180,PF00003
1222,P29736,PF00232
1223,P41250,PF03129
1224,B0F481,PF13500
1225,D2X9R3,PF00043
1226,P02698,PF00631
1227,P21616,PF03030
1228,M1E1E4,PF07921
1229,O15530,PF14593
1230,Q61330,PF00041
1231,O15455,PF13516
1232,G9I933,PF12697
1233,P35270,PF00106
1234,P13551,PF00679
1235,R1EKX3,PF00520
1236,P02774,PF00273
1237,P15319,PF02753
1238,R1DBK9,PF13202
1239,A0A5B9BGY8,PF00574
1240,Q96EP1,PF00498
1241,P32238,PF00001
1242,Q05940,PF07690
1243,E9P9X4,PF04627
1244,A0A5N6DPG0,PF13802
1245,P02749,PF00084
1246,P02767,PF00576
1247,P02696,PF00061
1248,P0A4X7,PF00202
1249,P20581,PF00753
1250,Q81R22,PF00186
1251,Q8CD54,PF15917
1252,P04150,PF02155
1253,P68139,PF00022
1254,P14779,PF00667
1255,O67181,PF00005
1256,Q04756,PF00008
1257,Q13126,PF01048
1258,P02778,PF00048
1259,P23946,PF00089
1260,N0DKS8,PF01036
1261,P80884,PF08246
1262,P07700,PF00001
1263,A0A199VSS3,PF08246
1264,O30124,PF02146
1265,O15164,PF00439
1266,O43526,PF00520
1267,O60602,PF00560
1268,P9WPS1,PF00137
1269,Q9ZWC8,PF20141
1270,P54888,PF00696
1271,P0ABL8,PF03379
1272,Q9JYY3,PF07724
1273,P21462,PF00001
1274,P26697,PF14497
1275,P05484,PF02950
1276,P02883,PF00314
1277,Q7CWV1,PF16684
1278,Q9BMI9,PF01048
1279,Q38SD2,PF16095
1280,P0A3Q9,PF01625
1281,P35465,PF00786
1282,P36022,PF12774
1283,Q9GK12,PF01510
1284,Q08210,PF01180
1285,Q8R4T5,PF00595
1286,Q14432,PF00233
1287,Q8BGN3,PF01663
1288,P73953,PF05982
1289,Q59DZ4,PF07686
1290,A0A0A5P8W7,PF01053
1291,P08887,PF00047
1292,P18757,PF01053
1293,B2IZD3,PF21808
1294,Q8J581,PF00516
1295,Q914N6,PF20790
1296,Q9NXL6,PF13965
1297,P0DTC9,PF00937
1298,O49839,PF07714
1299,Q13563,PF18109
1300,O06796,PF16817
1301,Q8CG03,PF01590
1302,Q3S340,PF00064
1303,Q0TTH1,PF13353
1304,P01857,PF07654
1305,P08004,PF01644
1306,Q6IWJ5,PF13450
1307,Q42736,PF00391
1308,P61586,PF00071
1309,P29678,PF00069
1310,A5HUM9,PF07654
1311,P12369,PF00027
1312,P22221,PF00391
1313,P74535,PF21571
1314,Q9HBA0,PF00023
1315,A0A1S5ZIL8,PF08706
1316,P00740,PF00008
1317,O43156,PF24176
1318,Q9JIH7,PF12202
1319,O97366,PF12032
1320,P12960,PF00041
1321,P42264,PF01094
1322,C0HJY1,PF00139
1323,P68032,PF00022
1324,O53871,PF02803
1325,P42260,PF01094
1326,B0R5N9,PF01036
1327,Q01693,PF04389
1328,O75909,PF00134
1329,Q9P289,PF20929
1330,M4T0T6,PF10659
1331,A0A182DWE1,PF00509
1332,Q29983,PF07654
1333,P04587,PF00540
1334,P00808,PF13354
1335,P58400,PF02210
1336,Q9AFF7,PF01036
1337,Q92963,PF00071
1338,K9N4V7,PF00937
1339,Q9Y3Q4,PF00027
1340,O35820,PF05014
1341,P21912,PF13085
1342,P68134,PF00022
1343,Q05909,PF00194
1344,P12425,PF00120
1345,Q8ZYG5,PF01423
1346,P14434,PF07654
1347,P39897,PF08361
1348,Q96MU8,PF00431
1349,O53665,PF13561
1350,P22748,PF00194
1351,P0A6N3,PF00009
1352,Q86WV6,PF15009
1353,P10747,PF15910
1354,P28472,PF02931
1355,A5JUY8,PF03098
1356,Q9NTG7,PF02146
1357,P15529,PF00084
1358,Q9X1H4,PF00825
1359,P68187,PF00005
1360,Q9L5C8,PF13354
1361,B4UPF7,PF00509
1362,P27707,PF01712
1363,Q6PJP8,PF07522
1364,Q8I3X4,PF01048
1365,A0A1B1JH81,PF00850
1366,P02787,PF00405
1367,P62623,PF02401
1368,Q30066,PF07654
1369,P82597,PF12146
1370,P30874,PF00001
1371,P46925,PF00026
1372,O15826,PF08761
1373,P98194,PF13246
1374,P23141,PF00135
1375,C3W5X6,PF00603
1376,Q9NYL2,PF07714
1377,P36291,PF03557
1378,A4HSF7,PF07992
1379,Q13043,PF11629
1380,P00178,PF00067
1381,P08754,PF00503
1382,P29274,PF00001
1383,O08604,PF14586
1384,P63096,PF00503
1385,Q8B3M2,PF08762
1386,P50148,PF00503
1387,P23339,PF00161
1388,Q9I0F2,PF00756
1389,L7R9I1,PF00906
1390,Q06K28,PF00202
1391,A0A452CSY5,PF13409
1392,P00469,PF00303
1393,P54311,PF00400
1394,Q9WZ49,PF00004
1395,P10824,PF00503
1396,B6YWB8,PF22335
1397,P9WQ47,PF00501
1398,A0A0C5B022,PF23162
1399,Q16678,PF00067
1400,P04908,PF00125
1401,P43088,PF00001
1402,Q8U4J3,PF00004
1403,O94953,PF02373
1404,Q7XJE8,PF05199
1405,Q6RJQ3,PF16758
1406,P07332,PF00611
1407,A0A6H1VGF9,PF00516
1408,P14639,PF00273
1409,P30990,PF07421
1410,P05045,PF00139
1411,Q9KKU4,PF02566
1412,A0A1W6IPB2,PF00516
1413,P00381,PF00186
1414,B7X8M2,PF00652
1415,P33173,PF12473
1416,A9X4C2,PF08727
1417,P00760,PF00089
1418,Q91VE3,PF00089
1419,P51531,PF07533
1420,P21279,PF00503
1421,Q8T6T2,PF00478
1422,P10632,PF00067
1423,P0DP25,PF13499
1424,B3UES2,PF00516
1425,P18509,PF00123
1426,P52564,PF00069
1427,Q13557,PF08332
1428,B4EH87,PF07472
1429,P15423,PF01600
1430,P0ACJ8,PF00027
1431,P03959,PF03814
1432,Q9M6E9,PF00652
1433,G0RYR3,PF00149
1434,E1BHM0,PF00059
1435,P06401,PF00104
1436,G0KTD9,PF00509
1437,P0CY47,PF00032
1438,Q7BNC2,PF00905
1439,P00698,PF00062
1440,Q8ND04,PF10220
1441,O95372,PF02230
1442,P32297,PF02931
1443,P21793,PF13855
1444,O19707,PF07654
1445,Q9GZC8,PF13965
1446,Q5T8I9,PF13489
1447,P66937,PF00204
1448,A0A0A7I3C6,PF00516
1449,P28482,PF00069
1450,Q9WMX2,PF07652
1451,O00214,PF00337
1452,Q6DQ33,PF00509
1453,P48729,PF00069
1454,I0B7N4,PF00509
1455,O77077,PF00550
1456,C0LT38,PF00509
1457,P05023,PF13246
1458,G8IPF0,PF00509
1459,P63043,PF00836
1460,Q96F81,PF03176
1461,P20701,PF01839
1462,P00915,PF00194
1463,O77389,PF01226
1464,A0A4W6C5C5,PF13481
1465,P11474,PF00104
1466,Q15465,PF01085
1467,P11716,PF08709
1468,P26718,PF00059
1469,P11387,PF14370
1470,P01552,PF02876
1471,Q86C09,PF00348
1472,I6L8L2,PF02931
1473,P00766,PF00089
1474,O50112,PF10996
1475,P15170,PF22594
1476,A0A0J9X267,PF00509
1477,B0VP98,PF03989
1478,A5F5X0,PF03116
1479,A0A7J7Z4L6,PF00071
1480,J9VQ51,PF00294
1481,A0AAJ6N5X9,PF01397
1482,Q8KNP3,PF22453
1483,P07949,PF00028
1484,A8K008,PF07654
1485,A0A0F7LMQ4,PF03882
1486,Q80WG5,PF23598
1487,Q9KZF5,PF00067
1488,Q696P8,PF16451
1489,Q9UNA4,PF00817
1490,P00021,PF00034
1491,G2U0T8,PF00509
1492,P25574,PF07774
1493,O09114,PF00061
1494,P33186,PF00161
1495,P01904,PF07654
1496,P81461,PF00139
1497,P00763,PF00089
1498,Q6PJF2,PF07654
1499,P01899,PF07654
1500,C5I2D9,PF07715
1501,P22756,PF01094
1502,M4Q8P8,PF00516
1503,P39086,PF01094
1504,Q5CQH9,PF00439
1505,Q6WG00,PF00509
1506,Q3MHW7,PF05241
1507,P07333,PF00047
1508,B7UCZ5,PF24833
1509,Q9K0A9,PF01758
1510,Q96EP0,PF18091
1511,P30613,PF00224
1512,Q289M7,PF00509
1513,B0I1S0,PF12774
1514,P42866,PF00001
1515,P01266,PF00135
1516,Q7SIB6,PF00464
1517,Q1KHJ8,PF00509
1518,Q13330,PF01426
1519,P04233,PF09307
1520,P29466,PF00619
1521,A0A140ESF1,PF01600
1522,D7S2G1,PF00516
1523,Q8BTI9,PF00454
1524,Q07374,PF00516
1525,A0A4V3QHV5,PF11855
1526,Q93PQ0,PF13354
1527,P16603,PF00667
1528,Q5V8X3,PF20947
1529,Q61846,PF02149
1530,P23644,PF01459
1531,P03452,PF00509
1532,P03951,PF00024
1533,Q64PD9,PF01368
1534,O60760,PF14497
1535,C6G099,PF00516
1536,P05132,PF00069
1537,P62820,PF00071
1538,Q9HVM5,PF01252
1539,J7HDY4,PF08244
1540,P62330,PF00025
1541,G0RYC2,PF06068
1542,O07549,PF00664
1543,G0RY01,PF04795
1544,P00636,PF00316
1545,P55212,PF00656
1546,P62491,PF00071
1547,D1G7N2,PF00516
1548,B7UCZ6,PF01353
1549,Q5UQL3,PF00334
1550,I4DST7,PF01036
1551,P35444,PF11598
1552,P32361,PF00069
1553,Q8YY42,PF11535
1554,C6G0D7,PF00516
1555,O75084,PF01534
1556,P00749,PF00051
1557,A0A2P0NE26,PF01542
1558,P0A6A8,PF00550
1559,P49862,PF00089
1560,P36897,PF01064
1561,P05087,PF00139
1562,P43652,PF00273
1563,A0A120K6L5,PF00516
1564,Q9EXV5,PF13354
1565,Q9SM56,PF00139
1566,A0A0M3KKW8,PF00516
1567,P03354,PF00607
1568,P97287,PF00452
1569,A0A2K1JDE1,PF22832
1570,P23416,PF02931
1571,A0A0H2UR54,PF04816
1572,Q816E8,PF08713
1573,P0C1Z0,PF21947
1574,C7S226,PF00509
1575,P06242,PF00069
1576,A5PJH9,PF01048
1577,O24243,PF05199
1578,Q8YAJ3,PF00571
1579,A3FQN0,PF00069
1580,A0A1S4FIB3,PF00043
1581,P17452,PF11647
1582,A0FGR8,PF00168
1583,Q02763,PF00041
1584,Q64610,PF01223
1585,P50613,PF00069
1586,O94856,PF13882
1587,P09601,PF01126
1588,P08253,PF00040
1589,P52565,PF02115
1590,P0DTC1,PF16251
1591,A0A2R4KP93,PF16451
1592,Q5QGH9,PF00552
1593,A0A6H0TJ16,PF00069
1594,O81086,PF01397
1595,P19490,PF01094
1596,A0A1W6IHA4,PF00516
1597,Q8XMB9,PF02311
1598,P15207,PF02166
1599,O60563,PF00134
1600,Q7NP59,PF01036
1601,Q9ESY9,PF03227
1602,P93343,PF00244
1603,Q84TH5,PF01061
1604,P46863,PF00225
1605,Q96RD7,PF00876
1606,P69333,PF00001
1607,Q4FZB7,PF00856
1608,Q288C4,PF13516
1609,Q8U2X0,PF01554
1610,P05413,PF00061
1611,P14340,PF20907
1612,P06762,PF01126
1613,Q45697,PF09349
1614,P38584,PF03133
1615,P00451,PF07731
1616,O14843,PF00001
1617,Q5ICN3,PF00027
1618,O15552,PF00001
1619,O29760,PF00227
1620,Q9AEM2,PF04122
1621,P51977,PF00171
1622,A0R3C5,PF02559
1623,P00352,PF00171
1624,P43250,PF00069
1625,Q8J307,PF21440
1626,Q8N6R0,PF13649
1627,P34808,PF00004
1628,P16330,PF13671
1629,P05088,PF00139
1630,P28223,PF00001
1631,Q86U86,PF01426
1632,P36979,PF04055
1633,P02791,PF00210
1634,P94458,PF13354
1635,G0S519,PF00022
1636,O92956,PF00607
1637,Q02817,PF08742
1638,Q27893,PF01150
1639,P53115,PF13892
1640,Q9LVH4,PF00168
1641,H6LFG3,PF02906
1642,P11712,PF00067
1643,C4B644,PF00067
1644,P16115,PF02866
1645,Q9UUB1,PF00885
1646,Q8JSZ3,PF20682
1647,Q2MGH6,PF00754
1648,Q05901,PF02931
1649,B3Y653,PF13855
1650,P21856,PF00996
1651,A0A287AZ37,PF00091
1652,P08069,PF00757
1653,Q3UHJ0,PF00069
1654,P22607,PF21165
1655,P05067,PF10515
1656,P23886,PF00664
1657,P0AEY0,PF01547
1658,P07788,PF00394
1659,P9WHK7,PF06418
1660,Q8I4N9,PF02009
1661,A6ZSR0,PF00067
1662,Q13490,PF00653
1663,Q14416,PF00003
1664,O34816,PF01476
1665,Q00536,PF00069
1666,Q9JLS3,PF00069
1667,Q4DE53,PF00204
1668,Q8XBV2,PF00161
1669,P26043,PF00769
1670,A0A059T4A1,PF00509
1671,P54219,PF07690
1672,L0L3X3,PF00509
1673,D5AQG8,PF11390
1674,P27914,PF20907
1675,P47895,PF00171
1676,P80219,PF00089
1677,A0A1V1IGJ9,PF07654
1678,P35499,PF00520
1679,P84887,PF02975
1680,Q4WW81,PF07938
1681,P09210,PF00043
1682,P01871,PF07654
1683,O28025,PF08489
1684,P32143,PF00294
1685,P30405,PF00160
1686,K9WT99,PF13499
1687,P0A9N4,PF13353
1688,S4UX02,PF00067
1689,Q12GE3,PF13378
1690,A0A2D0TC04,PF01223
1691,D5UM26,PF07885
1692,A0A024B7W1,PF20907
1693,A0A0R4I993,PF00091
1694,Q9EPK8,PF00023
1695,P03147,PF00906
1696,P40479,PF00782
1697,A0A0R0IK90,PF00464
1698,P74881,PF02769
1699,P00646,PF03515
1700,O75154,PF13499
1701,B3EWQ9,PF00139
1702,P06756,PF01839
1703,Q13224,PF01094
1704,P29994,PF08709
1705,A7UPX0,PF00509
1706,A0A524F8J2,PF01036
1707,P22073,PF00232
1708,Q8R4D5,PF00520
1709,P31422,PF00003
1710,Q9UL62,PF00023
1711,Q8TCD0,PF07654
1712,P01872,PF07654
1713,P14743,PF01233
1714,P13491,PF02866
1715,P0AFC3,PF00507
1716,H9XCU1,PF00509
1717,P55259,PF23283
1718,A1EAI1,PF00516
1719,Q96QZ0,PF00876
1720,A0A346FJK3,PF00959
1721,Q8RR56,PF00082
1722,P17763,PF20907
1723,C6XGT2,PF00497
1724,Q96CA5,PF00653
1725,P59082,PF10604
1726,P15474,PF01220
1727,P19157,PF14497
1728,Q57696,PF01817
1729,P42330,PF00248
1730,A0A2P1GNP4,PF00064
1731,Q96SB4,PF00069
1732,O43915,PF03128
1733,P54760,PF14575
1734,Q9U1E1,PF00334
1735,A0A3Q0KSG2,PF00194
1736,Q96LI5,PF03372
1737,Q8R5F7,PF16739
1738,Q93NH4,PF01593
1739,Q92918,PF00780
1740,A5H660,PF00850
1741,P61981,PF00244
1742,Q9NP59,PF06963
1743,A0A0C5AWF6,PF08727
1744,Q9LUE2,PF01397
1745,P39840,PF01263
1746,P02872,PF00139
1747,Q89FN7,PF00106
1748,P00644,PF00565
1749,Q4AA29,PF10437
1750,A4L787,PF01589
1751,M5AAG8,PF19263
1752,Q9Y6W8,PF15910
1753,W8Q9Y7,PF01600
1754,A0A0E3U229,PF01600
1755,P13797,PF00307
1756,A0R5U2,PF00067
1757,P06609,PF01032
1758,Q9UK32,PF00069
1759,Q385E8,PF00067
1760,P00383,PF06442
1761,P68431,PF00125
1762,P02873,PF00139
1763,P50032,PF00502
1764,I2D7A8,PF00509
1765,O75844,PF01435
1766,Q6F3I7,PF00930
1767,A0A0H2UPR5,PF08534
1768,K7N5L2,PF00509
1769,P02788,PF00405
1770,A0A2A4K9Z3,PF00104
1771,Q9NRD5,PF06456
1772,E7F650,PF01382
1773,P20807,PF01067
1774,K7N5M4,PF07654
1775,P25911,PF07714
1776,C7E5X4,PF00155
1777,Q8MYA9,PF01852
1778,A0A1L7NZU4,PF03080
1779,P09591,PF00009
1780,C4QXM9,PF00022
1781,A0A3Q0KQ92,PF01094
1782,O95461,PF13896
1783,A0A1S4NYE5,PF00069
1784,Q9X1X0,PF00149
1785,P0DMS8,PF00001
1786,P41271,PF03045
1787,C4IX13,PF00287
1788,P0A6Z3,PF13589
1789,Q9I5X1,PF02627
1790,Q58018,PF01946
1791,A0AAN0NP16,PF16451
1792,Q9NSY1,PF15282
1793,P02089,PF00042
1794,Q00IB3,PF00501
1795,Q27890,PF02800
1796,Q3ZLH8,PF00516
1797,P18708,PF00004
1798,O43293,PF00069
1799,Q79791,PF00540
1800,Q55707,PF04012
1801,P49419,PF00171
1802,P04050,PF04997
1803,P84077,PF00025
1804,Q80J95,PF08405
1805,P13187,PF00364
1806,P25656,PF03381
1807,O95477,PF12698
1808,Q6FPH0,PF00186
1809,P06685,PF13246
1810,P49791,PF08604
1811,Q6R7Z5,PF00112
1812,Q8NB16,PF22215
1813,P10636,PF00418
1814,Q15109,PF08205
1815,P35613,PF13927
1816,Q9UR08,PF19086
1817,Q9UIK4,PF00069
1818,E1ADR9,PF00516
1819,P0ABN1,PF01219
1820,P34897,PF00464
1821,P07437,PF00091
1822,P27150,PF00687
1823,Q9WYC3,PF00664
1824,P12493,PF00540
1825,D2VJG4,PF08683
1826,P13006,PF05199
1827,G4VGI0,PF01048
1828,Q6T6J0,PF00407
1829,Q9IH62,PF00423
1830,Q9NWY4,PF10228
1831,P24723,PF00130
1832,Q7KZI7,PF02149
1833,Q14680,PF02149
1834,C8XPB6,PF20907
1835,E2RU97,PF00244
1836,O00408,PF01590
1837,O11875,PF20907
1838,P02786,PF02225
1839,I3L8V6,PF01740
1840,P00516,PF00027
1841,P86624,PF00139
1842,P01854,PF07654
1843,P0A6V1,PF00483
1844,A4D1P6,PF23138
1845,P32641,PF03215
1846,P68371,PF00091
1847,P32839,PF00004
1848,Q980T8,PF04679
1849,P04040,PF00199
1850,P23979,PF02931
1851,P02974,PF07963
1852,P0A6M2,PF02600
1853,P11124,PF00680
1854,P33176,PF00225
1855,M9V5A4,PF00603
1856,P06281,PF07966
1857,P07834,PF16856
1858,P09467,PF00316
1859,P18326,PF00067
1860,P28635,PF03180
1861,P15428,PF00106
1862,F4MIW6,PF19209
1863,P20309,PF00001
1864,O02697,PF00454
1865,J7QAK3,PF07690
1866,Q12051,PF00348
1867,P08173,PF00001
1868,A0QU23,PF00361
1869,O35744,PF00704
1870,O15399,PF01094
1871,P13661,PF00905
1872,Q2IBI1,PF00509
1873,A0A4X1TUM3,PF02931
1874,Q4G1L2,PF11921
1875,Q92830,PF00583
1876,P08424,PF00026
1877,B2LVD7,PF00509
1878,Q9JHD1,PF00583
1879,B2ZUN0,PF08727
1880,Q2N379,PF00680
1881,P43563,PF03637
1882,P17150,PF00726
1883,Q9Y6X5,PF01663
1884,P05154,PF00079
1885,Q14524,PF00520
1886,I3LZN5,PF00023
1887,B8HTZ1,PF18679
1888,P04070,PF14670
1889,Q256S2,PF00407
1890,Q9UIQ6,PF11838
1891,P63086,PF00069
1892,P02920,PF01306
1893,P9WHE9,PF00885
1894,D0E0C7,PF00407
1895,Q8CJ91,PF00059
1896,Q05599,PF02283
1897,P46934,PF00632
1898,E1AFM4,PF00509
1899,P51141,PF00610
1900,P45951,PF03372
1901,A0A1U7QTA1,PF16959
1902,A0A0H3JRN6,PF14526
1903,Q8VIM0,PF07686
1904,Q8IVW8,PF07690
1905,P02585,PF13499
1906,A0A8M1PIC7,PF00067
1907,P53667,PF00412
1908,Q9NZC2,PF07686
1909,Q13630,PF01370
1910,C0H419,PF00364
1911,P37821,PF00155
1912,Q9H7M9,PF07686
1913,Q7Z3B1,PF07679
1914,P03780,PF10922
1915,F0V1E2,PF04616
1916,E2ESL7,PF00718
1917,P30530,PF00041
1918,A0A1W6ASU7,PF16451
1919,P54132,PF08072
1920,P00973,PF01909
1921,Q47155,PF00817
1922,P02247,PF01814
1923,O05779,PF00005
1924,P17050,PF16499
1925,O74339,PF09139
1926,Q8IZX4,PF00439
1927,A0A0N7IQX6,PF16959
1928,P41351,PF00091
1929,P9WHH9,PF07992
1930,P20480,PF00225
1931,P24004,PF00004
1932,P15813,PF07654
1933,S5MF06,PF00064
1934,A4VDZ5,PF05914
1935,Q6IQ55,PF00069
1936,Q56905,PF04321
1937,Q9NZN9,PF23322
1938,O97428,PF01290
1939,P12268,PF00571
1940,Q5CQB7,PF00439
1941,P62577,PF00302
1942,Q8Y8D7,PF01513
1943,P08767,PF02305
1944,Q51817,PF07675
1945,P06746,PF14792
1946,A0A5C2FYK4,PF07686
1947,Q6V4S5,PF00041
1948,P06280,PF16499
1949,Q9HD26,PF00595
1950,Q9NV96,PF03381
1951,P59653,PF00664
1952,K0IE77,PF11921
1953,O15197,PF14575
1954,I1SB09,PF00139
1955,B4RK78,PF01195
1956,P62593,PF13354
1957,G3CEP6,PF01036
1958,A0A0U3AGT1,PF01048
1959,Q8JUX6,PF01661
1960,P46098,PF02931
1961,Q46604,PF01243
1962,Q9UKE5,PF00780
1963,A0A0H3H219,PF13354
1964,P19466,PF02081
1965,P9WI83,PF00069
1966,P9WI81,PF03793
1967,O95711,PF02221
1968,Q01064,PF00233
1969,O43741,PF16561
1970,P02867,PF00139
1971,F5LA71,PF00401
1972,P08631,PF07714
1973,Q13164,PF00069
1974,P01024,PF00207
1975,P79345,PF02221
1976,O31440,PF00067
1977,Q13231,PF01607
1978,P9WMH3,PF00027
1979,P00282,PF00127
1980,P84998,PF02800
1981,P70881,PF14681
1982,O29386,PF01423
1983,P14867,PF02931
1984,Q54A96,PF01180
1985,Q95ZD7,PF03332
1986,Q6YD91,PF00139
1987,Q6DTN4,PF07687
1988,P10415,PF00452
1989,O66127,PF22538
1990,Q5HZ00,PF00348
1991,P11974,PF00224
1992,O22769,PF01257
1993,O64725,PF08122
1994,P14335,PF20907
1995,P05769,PF20907
1996,C6KNH7,PF00509
1997,A0A346TIJ9,PF20907
1998,Q8WUI4,PF00850
1999,Q64444,PF00194
2000,P20136,PF00043
2001,Q56257,PF00155
2002,Q04917,PF00244
2003,P19120,PF00012
2004,Q92997,PF00610
2005,Q8IV48,PF00929
2006,Q29411,PF00704
2007,Q9X721,PF18496
2008,P47709,PF00168
2009,O51729,PF00004
2010,P48067,PF00209
2011,Q8SPQ0,PF00704
2012,A0A8B9TXK0,PF07686
2013,Q9H813,PF15122
2014,A8JZR7,PF00905
2015,Q99J21,PF21381
2016,H8ZRU2,PF00394
2017,G2J5T2,PF13180
2018,O95970,PF03736
2019,P54887,PF00696
2020,P03313,PF08727
2021,A3KF09,PF00509
2022,A3DDW1,PF13353
2023,A0A0F8Y9R4,PF00626
2024,P9WPN5,PF00067
2025,O23629,PF00125
2026,F9UT53,PF01053
2027,A0A0A7M685,PF00394
2028,P0A1P7,PF00120
2029,P00344,PF02866
2030,O35089,PF03311
2031,P04993,PF13245
2032,Q11174,PF01607
2033,P04899,PF00503
2034,Q16850,PF00067
2035,P21146,PF00169
2036,O67745,PF01966
2037,O28303,PF00004
2038,P01850,PF07654
2039,Q6UWV6,PF01663
2040,A0A3Q8I8I6,PF00439
2041,M4M0W3,PF00516
2042,Q3ZTF3,PF16451
2043,P27695,PF03372
2044,Q2U8Y3,PF03067
2045,U5WI05,PF16451
2046,P12824,PF17488
2047,P11836,PF04103
2048,P31539,PF00004
2049,P18000,PF12106
2050,P95468,PF00155
2051,P03956,PF00045
2052,Q84895,PF02226
2053,P31356,PF00001
2054,O95180,PF00520
2055,A0A2H4A2U9,PF00067
2056,Q8TDD5,PF21381
2057,P06210,PF08727
2058,Q8T913,PF11793
2059,B4SII9,PF01053
2060,Q194T1,PF00064
2061,A0A023GPI8,PF00139
2062,P90191,PF07652
2063,P15389,PF00520
2064,Q9AIU0,PF08361
2065,Q4QBL1,PF00348
2066,O32462,PF09094
2067,Q9NZD2,PF08718
2068,Q61166,PF00307
2069,P00502,PF00043
2070,Q9ZUY6,PF01370
2071,O34614,PF06962
2072,Q13422,PF00096
2073,P23471,PF00194
2074,P05019,PF00049
2075,Q8NS38,PF00303
2076,P07492,PF02044
2077,P01031,PF00207
2078,P01127,PF00341
2079,Q63563,PF00664
2080,Q57679,PF01725
2081,Q80UL9,PF07686
2082,O30650,PF00005
2083,P0A8U6,PF01340
2084,P97792,PF13895
2085,P30837,PF00171
2086,P04688,PF00091
2087,P0A004,PF02898
2088,P54762,PF14575
2089,E1BM79,PF00211
2090,Q9Y2K2,PF00069
2091,P31809,PF13895
2092,Q9UJM8,PF01070
2093,Q15303,PF00757
2094,P22892,PF01602
2095,P61212,PF00025
2096,Q8KC98,PF16095
2097,S6FKX6,PF18483
2098,Q6ZT98,PF03133
2099,Q16659,PF00069
2100,V9TU12,PF16251
2101,Q840M4,PF13354
2102,Q9L5C7,PF13354
2103,O94851,PF12130
2104,A6YRT4,PF14310
2105,P31473,PF17868
2106,Q12QS6,PF01382
2107,Q93TU6,PF00378
2108,R8YPJ7,PF00850
